Orignal Id,Encoded Id
1,0
6,1
7,2
8,3
15,4
16,5
17,6
18,7
19,8
20,9
21,10
22,11
23,12
24,13
25,14
26,15
27,16
28,17
29,18
30,19
33,20
45,21
48,22
50,23
52,24
53,25
55,26
56,27
57,28
58,29
59,30
60,31
61,32
62,33
63,34
64,35
65,36
66,37
67,38
68,39
69,40
71,41
72,42
73,43
74,44
75,45
76,46
77,47
79,48
80,49
85,50
86,51
89,52
90,53
92,54
93,55
94,56
95,57
96,58
97,59
98,60
99,61
100,62
101,63
102,64
103,65
104,66
105,67
106,68
107,69
109,70
110,71
111,72
112,73
113,74
114,75
115,76
116,77
119,78
120,79
121,80
122,81
123,82
125,83
126,84
127,85
129,86
130,87
131,88
132,89
133,90
134,91
135,92
136,93
141,94
142,95
143,96
144,97
145,98
146,99
147,100
148,101
149,102
150,103
152,104
153,105
154,106
156,107
157,108
158,109
159,110
160,111
161,112
162,113
163,114
165,115
166,116
167,117
168,118
169,119
170,120
171,121
173,122
174,123
175,124
177,125
178,126
180,127
181,128
182,129
183,130
184,131
185,132
186,133
189,134
193,135
195,136
196,137
197,138
198,139
200,140
202,141
204,142
205,143
206,144
209,145
210,146
218,147
222,148
223,149
225,150
226,151
228,152
229,153
230,154
231,155
232,156
233,157
234,158
236,159
237,160
238,161
239,162
240,163
241,164
242,165
243,166
244,167
245,168
246,169
247,170
248,171
249,172
250,173
251,174
252,175
253,176
257,177
260,178
261,179
263,180
266,181
267,182
269,183
270,184
271,185
272,186
273,187
274,188
275,189
276,190
277,191
278,192
279,193
280,194
282,195
283,196
284,197
285,198
286,199
287,200
288,201
289,202
290,203
291,204
292,205
293,206
294,207
295,208
296,209
297,210
298,211
301,212
302,213
303,214
306,215
307,216
308,217
309,218
310,219
311,220
318,221
321,222
322,223
323,224
324,225
325,226
326,227
327,228
328,229
329,230
330,231
331,232
332,233
333,234
334,235
335,236
336,237
337,238
338,239
339,240
340,241
341,242
342,243
343,244
344,245
345,246
346,247
347,248
348,249
349,250
350,251
351,252
352,253
353,254
354,255
355,256
356,257
360,258
364,259
369,260
370,261
375,262
379,263
383,264
384,265
385,266
386,267
387,268
388,269
390,270
392,271
394,272
395,273
396,274
397,275
400,276
403,277
406,278
407,279
411,280
412,281
417,282
419,283
421,284
424,285
427,286
435,287
440,288
444,289
445,290
446,291
447,292
455,293
456,294
457,295
467,296
469,297
470,298
471,299
472,300
473,301
476,302
477,303
478,304
479,305
481,306
482,307
483,308
485,309
486,310
487,311
488,312
489,313
490,314
495,315
497,316
501,317
505,318
506,319
508,320
509,321
510,322
511,323
516,324
518,325
519,326
521,327
525,328
527,329
529,330
530,331
532,332
533,333
534,334
535,335
538,336
545,337
546,338
550,339
551,340
552,341
553,342
554,343
555,344
558,345
561,346
563,347
567,348
568,349
569,350
573,351
574,352
576,353
577,354
579,355
580,356
582,357
584,358
586,359
587,360
589,361
590,362
591,363
592,364
593,365
598,366
600,367
603,368
604,369
605,370
606,371
607,372
610,373
611,374
612,375
613,376
614,377
616,378
618,379
620,380
621,381
623,382
624,383
626,384
627,385
630,386
633,387
634,388
635,389
636,390
637,391
646,392
648,393
649,394
652,395
653,396
655,397
658,398
667,399
668,400
670,401
671,402
677,403
678,404
682,405
684,406
685,407
687,408
688,409
690,410
691,411
693,412
694,413
696,414
706,415
708,416
709,417
710,418
712,419
714,420
718,421
721,422
727,423
729,424
738,425
740,426
744,427
749,428
750,429
751,430
754,431
756,432
763,433
764,434
771,435
776,436
782,437
783,438
786,439
789,440
790,441
795,442
798,443
799,444
800,445
801,446
810,447
812,448
813,449
817,450
825,451
831,452
832,453
833,454
835,455
836,456
838,457
840,458
841,459
845,460
846,461
849,462
850,463
852,464
853,465
854,466
855,467
856,468
857,469
858,470
859,471
860,472
861,473
863,474
865,475
872,476
873,477
874,478
876,479
877,480
878,481
879,482
880,483
886,484
888,485
889,486
890,487
907,488
909,489
910,490
912,491
913,492
914,493
915,494
916,495
918,496
919,497
924,498
925,499
926,500
927,501
928,502
929,503
930,504
934,505
935,506
940,507
941,508
942,509
943,510
944,511
951,512
952,513
