id,name,genres
120,Fruits Basket,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
125,Futakoi,"Comedy, Romance, School"
126,Futakoi Alternative,"Comedy, Drama, Romance"
127,Gate Keepers,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen"
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural"
130,Saiyuuki Reload,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life"
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi"
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural"
136,Hunter x Hunter,"Action, Adventure, Super Power, Fantasy, Shounen"
141,Jinki:Extend,"Mecha, Sci-Fi"
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
144,Kanon,"Drama, Romance, Slice of Life, Supernatural"
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life"
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life"
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai"
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
152,Solty Rei,"Action, Sci-Fi, Super Power"
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural"
154,Shaman King,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo"
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural"
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai"
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural"
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi"
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen"
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen"
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen"
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi"
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi"
167,Scrapped Princess,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen"
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama"
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports"
171,Strange Dawn,"Adventure, Drama, Fantasy"
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen"
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen"
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo"
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
182,Tenkuu no Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha"
183,Whistle!,"School, Shounen, Sports"
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space"
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports"
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports"
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School"
195,Onegai☆Teacher,"Sci-Fi, Comedy, Drama, Romance, School"
196,Onegai☆Twins,"Comedy, Drama, Harem, School, Sci-Fi"
197,Rizelmine,"Sci-Fi, Comedy, Romance, Ecchi, School"
198,Speed Grapher,"Action, Mystery, Super Power"
200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen"
202,Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Magic, Romance, Fantasy"
209,R.O.D: The TV,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama"
210,Ranma ½,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen"
218,Kidou Senkan Nadesico,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space"
222,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi"
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
225,Dragon Ball GT,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen"
226,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
228,Jigoku Shoujo,"Mystery, Horror, Psychological, Supernatural"
229,Ninin ga Shinobuden,"Comedy, Parody, Martial Arts"
230,Air Master,"Action, Comedy, Martial Arts, Seinen"
231,Asagiri no Miko,"Action, Comedy, Supernatural, Fantasy, Seinen"
